Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,AssetType,FetchDate,Timeframe,Interval
2024-06-04 00:00:00,14.758177057347062,14.805448785982277,14.493456639276385,14.53127384185791,6219300,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-05 00:00:00,14.588000852531612,14.654180735070572,14.351643098740151,14.521820068359375,5751100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-06 00:00:00,14.57854618306871,14.606908860788318,14.219282292631704,14.370551109313965,12341000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-07 00:00:00,14.285462918963535,14.446186270472344,14.238192087511909,14.408369064331055,5389000,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-10 00:00:00,14.200374606927204,14.266554490987106,13.774929919018405,14.15310287475586,10594400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-11 00:00:00,14.01128693644714,14.105830395784446,13.888380799961942,14.02074146270752,7543400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-12 00:00:00,14.304371288412465,14.446185579248414,14.077468062421637,14.181465148925781,8620600,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-13 00:00:00,14.058557956566634,14.11528420963264,13.746565818786621,13.746565818786621,9117100,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-14 00:00:00,13.660591540460427,13.68924986864058,13.459981421135703,13.631933212280273,6163600,0.15,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-17 00:00:00,13.584168071693767,13.822989587456863,13.479086021697665,13.813436508178711,6299900,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-18 00:00:00,13.76567119509377,13.880305406443318,13.66059006244795,13.803882598876953,5615700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-20 00:00:00,13.794329290435593,14.014045541803426,13.746565719775889,13.956727981567383,5578700,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-21 00:00:00,13.889859371032493,14.071363322820874,13.82298963790495,14.014046669006348,11002400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-24 00:00:00,14.166892513147964,14.463031599212304,14.042705213252066,14.338844299316406,6645400,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
2024-06-25 00:00:00,14.300633139441068,14.39616120260389,14.128681350303447,14.25286865234375,5076200,0.0,0.0,FHN,stock,2026-01-17 20:21:00,2y,1d
